,count,mean,std,min,5%,10%,25%,50%,75%,90%,95%,max
montant_count,5491.0,1.6312147149881624,1.7154717469917606,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,18.0
montant_sum,5491.0,2355025.991467857,13029949.247901682,5266.55,30001.25,45323.5,88139.705,207626.44,611466.135,2693173.41,7753366.66,181856861.28
montant_mean,5491.0,898664.0682953385,2595014.8049185677,5266.55,28008.0,43077.77,75124.66,160169.3,420000.0,1345752.7175,4980330.0,19161242.35
offresRecues_mean,5491.0,3.3489597524837005,2.294252309622306,1.0,1.0,1.0,2.0,3.0,4.0,6.0,8.0,16.0
buyer_degree,5491.0,14.845383354580223,21.926287050878674,1.0,1.0,2.0,3.0,8.0,15.0,29.0,65.0,115.0
supplier_degree,5490.0,1.643351548269581,1.6434660224243005,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,17.0
edge_share_buyer,5491.0,0.2443999271535239,0.3152170560223206,3.501746029956981e-05,0.0019689348474883498,0.0061393732720408,0.02865356152715115,0.1,0.32220544748783186,0.9888431266013156,1.0,1.0
edge_share_supplier,5490.0,0.8174863387978142,0.31726212312078617,0.0006408026604217,0.0907591334214278,0.20183481972112308,0.7186343358837652,1.0,1.0,1.0,1.0,1.0
risk_score,5491.0,0.3839784291671893,0.1323864915105047,0.0331091326514807,0.1745681740893982,0.2321408850307975,0.30190905244704513,0.3657741236014898,0.4516919476775131,0.5745995172675916,0.6389164044165669,0.7905056989739474
