,risk_score
0.0,0.0331091326514807
0.05,0.1745681740893982
0.1,0.2321408850307975
0.25,0.30190905244704513
0.5,0.3657741236014898
0.75,0.4516919476775131
0.9,0.5745995172675916
0.95,0.6389164044165669
1.0,0.7905056989739474
